subscription_id,status_new,THEMONTH,THEDATETIME
177063480,active,2022-07,2022-07-01 04:35:17
177146008,active,2022-08,2022-08-24 04:20:05
177352512,active,2022-08,2022-08-25 04:18:50
177352512,cancelled,2022-09,2022-09-06 06:24:50
177391389,active,2022-04,2022-04-03 04:22:46
177391389,cancelled,2022-12,2022-12-02 08:37:54
177594973,active,2022-03,2022-03-24 18:28:36
177841262,active,2022-06,2022-06-17 04:23:22
177983642,active,2022-08,2022-08-11 11:25:34
178207365,active,2022-08,2022-08-27 04:36:39
178207365,cancelled,2022-11,2022-11-09 04:36:36
178311410,active,2022-03,2022-03-24 18:28:36
178759432,active,2024-09,2024-09-09 20:52:36
178765716,active,2022-03,2022-03-24 18:28:36
178896148,active,2022-05,2022-05-29 20:17:29
178896148,cancelled,2022-09,2022-09-23 04:36:54
178912282,active,2022-03,2022-03-24 18:28:36
178991539,active,2022-06,2022-06-15 04:25:49
178991539,cancelled,2024-10,2024-10-28 16:26:28
179118167,active,2022-06,2022-06-01 04:34:06
179332888,active,2023-08,2023-08-22 21:23:11
179332888,cancelled,2024-02,2024-02-15 19:54:13
179332888,active,2024-06,2024-06-11 22:11:26
179332888,cancelled,2024-08,2024-08-15 20:51:01
179386332,active,2022-06,2022-06-02 05:32:14
180366046,active,2022-08,2022-08-22 04:23:47
180366046,cancelled,2023-03,2023-03-03 14:04:17
180504009,active,2022-03,2022-03-24 18:28:36
181593382,active,2022-03,2022-03-24 18:28:36
181801136,active,2022-06,2022-06-13 04:21:29
182488453,active,2022-06,2022-06-16 04:20:47
182517636,active,2022-07,2022-07-10 04:23:01
182798446,active,2023-02,2023-02-10 04:32:03
182798446,cancelled,2023-02,2023-02-10 04:33:50
182798446,active,2023-02,2023-02-14 06:33:14
182814091,active,2023-03,2023-03-02 11:00:19
182814091,cancelled,2023-09,2023-09-28 04:39:06
182981085,active,2022-08,2022-08-23 12:03:29
182981085,cancelled,2023-05,2023-05-03 08:27:24
183441103,active,2022-07,2022-07-19 04:22:31
184351623,active,2022-08,2022-08-25 04:18:48
184351623,cancelled,2022-11,2022-11-21 13:27:17
184405348,active,2022-06,2022-06-08 23:47:45
184405348,cancelled,2023-04,2023-04-20 14:55:07
184739171,active,2022-06,2022-06-24 06:49:32
184742284,active,2022-06,2022-06-26 08:13:54
184742284,cancelled,2023-12,2023-12-19 07:48:27
184863954,active,2022-08,2022-08-27 11:45:46
184863954,cancelled,2022-10,2022-10-10 07:15:08
184993106,active,2022-07,2022-07-18 23:49:30
184993106,cancelled,2023-09,2023-09-18 13:00:16
185126498,active,2022-08,2022-08-24 04:20:05
185225912,active,2022-08,2022-08-28 04:25:57
185225912,cancelled,2022-08,2022-08-30 11:13:04
185247128,active,2022-06,2022-06-29 04:22:29
185262314,active,2022-03,2022-03-24 18:28:37
185369161,active,2023-10,2023-10-24 23:01:29
185501702,active,2022-07,2022-07-03 04:21:22
185532380,active,2022-04,2022-04-27 04:28:45
185880904,active,2022-06,2022-06-28 04:26:00
186108496,active,2022-07,2022-07-03 04:21:19
186108693,active,2024-10,2024-10-28 04:23:08
186136287,active,2022-03,2022-03-24 18:28:37
186561777,active,2022-07,2022-07-31 04:17:27
186724026,active,2022-03,2022-03-24 18:28:37
186807159,active,2022-08,2022-08-01 04:54:07
187453129,active,2022-11,2022-11-24 23:37:57
187453129,cancelled,2023-01,2023-01-24 21:19:28
187453129,active,2023-10,2023-10-22 15:19:13
187604126,active,2022-08,2022-08-27 04:21:27
187723187,active,2022-03,2022-03-24 18:28:37
187785851,active,2022-08,2022-08-26 04:40:26
187932867,active,2022-08,2022-08-12 04:22:59
187932867,cancelled,2022-08,2022-08-30 20:20:19
188448641,active,2022-08,2022-08-22 04:23:50
188459914,active,2022-06,2022-06-01 04:33:38
188459914,cancelled,2022-11,2022-11-24 13:47:35
188769301,active,2022-08,2022-08-02 04:27:17
188769301,cancelled,2023-03,2023-03-15 14:26:27
188837297,active,2022-04,2022-04-16 04:23:13
189082052,active,2022-07,2022-07-17 04:19:56
190166729,active,2022-08,2022-08-22 04:23:52
190166729,cancelled,2022-09,2022-09-01 10:38:52
190213559,active,2022-08,2022-08-10 04:25:50
190304158,active,2022-10,2022-10-03 10:23:36
190304158,cancelled,2022-10,2022-10-03 11:04:04
190424730,active,2022-07,2022-07-24 04:20:06
190688709,active,2022-03,2022-03-24 18:28:37
190746104,active,2022-04,2022-04-25 04:24:32
191227887,active,2022-08,2022-08-25 04:18:49
191227887,cancelled,2022-11,2022-11-23 07:56:54
191755716,active,2022-06,2022-06-22 08:13:37
191764656,active,2022-07,2022-07-01 04:38:36
191764656,cancelled,2023-02,2023-02-24 00:46:14
191835972,active,2022-07,2022-07-26 04:22:15
191984520,active,2024-03,2024-03-18 12:00:54
191984520,cancelled,2024-07,2024-07-18 08:05:13
192018425,active,2022-07,2022-07-04 04:23:08
192018425,cancelled,2024-04,2024-04-17 04:38:00
192716326,active,2022-08,2022-08-02 04:27:12
192883821,active,2022-08,2022-08-03 04:27:05
192883821,cancelled,2022-09,2022-09-06 19:05:48
192969028,active,2022-08,2022-08-03 04:27:03
193656116,active,2022-08,2022-08-04 04:24:40
193656116,cancelled,2022-10,2022-10-05 05:35:39
193683608,active,2022-08,2022-08-04 04:24:39
194263286,active,2022-11,2022-11-20 22:34:17
194263286,cancelled,2022-11,2022-11-20 22:42:16
194263286,active,2022-11,2022-11-20 22:42:31
194286911,active,2022-08,2022-08-07 04:23:08
194533989,active,2022-03,2022-03-24 18:28:38
194533989,cancelled,2023-04,2023-04-21 04:40:29
194559874,active,2022-08,2022-08-26 04:37:17
194559874,cancelled,2022-09,2022-09-02 04:37:35
195050371,active,2022-06,2022-06-14 04:22:24
195408334,active,2022-08,2022-08-11 04:21:47
195525667,active,2022-08,2022-08-06 04:22:59
196049841,active,2022-03,2022-03-24 18:28:38
196049841,cancelled,2022-09,2022-09-28 20:13:14
196177601,active,2022-08,2022-08-27 20:36:50
196177601,cancelled,2022-09,2022-09-19 20:38:15
196308375,active,2022-06,2022-06-27 04:25:59
196328691,active,2022-05,2022-05-19 04:23:03
196328691,cancelled,2022-10,2022-10-18 08:46:19
196419644,active,2022-08,2022-08-15 20:13:38
196589176,active,2022-08,2022-08-05 04:24:01
196589176,cancelled,2024-01,2024-01-20 10:04:21
196643355,active,2022-08,2022-08-16 04:21:11
196753515,active,2022-03,2022-03-24 18:28:38
196782912,active,2022-08,2022-08-17 04:20:58
197386220,active,2022-07,2022-07-10 04:22:34
197386220,cancelled,2023-10,2023-10-04 15:03:26
197396580,active,2022-07,2022-07-20 18:37:02
197456271,active,2022-08,2022-08-20 13:48:20
197456271,cancelled,2022-11,2022-11-01 12:20:20
197456271,active,2022-11,2022-11-25 16:18:31
197545588,active,2022-08,2022-08-28 09:05:22
197549023,active,2022-07,2022-07-08 09:05:38
198033963,active,2022-05,2022-05-23 04:25:00
198132990,active,2022-08,2022-08-09 15:29:39
198132990,cancelled,2023-04,2023-04-03 08:22:33
198132990,active,2023-04,2023-04-03 08:27:19
198132990,cancelled,2023-04,2023-04-03 12:22:33
198234728,active,2022-03,2022-03-24 18:28:39
198353051,active,2022-08,2022-08-21 11:48:22
198353051,cancelled,2022-10,2022-10-01 20:18:54
198357153,active,2022-08,2022-08-24 04:20:10
199141736,active,2022-08,2022-08-28 04:36:29
199897074,active,2022-05,2022-05-28 04:27:24
200047870,active,2022-03,2022-03-24 18:28:39
200100933,active,2022-07,2022-07-11 18:39:45
200100933,cancelled,2022-12,2022-12-31 10:24:43
200347369,active,2022-06,2022-06-30 04:28:43
200633332,active,2022-07,2022-07-22 07:35:53
200633332,cancelled,2024-07,2024-07-31 07:29:39
200753935,active,2022-03,2022-03-24 18:28:39
200945064,active,2022-05,2022-05-04 18:37:25
200946244,active,2022-06,2022-06-04 04:21:41
201022099,active,2022-03,2022-03-24 18:28:39
201108036,active,2022-06,2022-06-05 04:21:14
201125314,active,2022-03,2022-03-24 18:28:39
201295281,active,2022-03,2022-03-24 18:28:39
201355441,active,2022-06,2022-06-22 04:22:13
201383668,active,2022-06,2022-06-06 04:23:07
202459992,active,2022-03,2022-03-24 18:28:41
202459992,cancelled,2022-10,2022-10-01 21:09:59
202467064,active,2022-07,2022-07-25 07:15:33
202467064,cancelled,2024-03,2024-03-05 19:24:47
202477351,active,2022-07,2022-07-17 00:21:02
202477351,cancelled,2024-10,2024-10-26 10:14:59
202601834,active,2022-07,2022-07-10 04:22:48
202957316,active,2022-06,2022-06-11 07:32:16
203052820,active,2022-06,2022-06-12 04:19:25
203052820,cancelled,2022-09,2022-09-12 09:33:56
203081585,active,2022-03,2022-03-24 18:28:41
203142132,active,2023-01,2023-01-31 11:32:29
203238083,active,2022-06,2022-06-13 04:21:30
203239091,active,2022-06,2022-06-06 00:09:10
203239091,cancelled,2022-08,2022-08-30 08:36:39
203296219,active,2024-10,2024-10-28 04:23:13
203343553,active,2022-06,2022-06-30 04:28:39
203549852,active,2022-06,2022-06-09 13:06:44
203634227,active,2022-06,2022-06-13 04:21:29
203865808,active,2022-07,2022-07-28 04:31:25
203866960,active,2022-08,2022-08-15 04:26:43
203866960,cancelled,2022-11,2022-11-09 04:37:22
203958764,active,2022-06,2022-06-15 04:25:43
203972132,active,2022-06,2022-06-17 04:23:24
203972132,cancelled,2023-06,2023-06-20 08:30:15
204007637,active,2022-07,2022-07-16 04:19:43
204007637,cancelled,2022-09,2022-09-01 11:44:07
204295594,active,2022-03,2022-03-24 18:28:41
204295594,cancelled,2022-09,2022-09-26 06:13:37
204299645,active,2022-06,2022-06-17 04:23:31
204299645,cancelled,2022-09,2022-09-13 07:55:34
204487877,active,2022-08,2022-08-18 04:23:31
204540003,active,2022-08,2022-08-18 01:19:05
204594168,active,2022-07,2022-07-31 04:17:21
204704741,active,2022-08,2022-08-25 04:18:51
204704741,cancelled,2023-09,2023-09-21 08:39:29
204709981,active,2022-08,2022-08-08 04:30:01
204720788,active,2022-08,2022-08-22 04:23:50
204852442,active,2023-05,2023-05-10 14:39:29
204939143,active,2022-06,2022-06-20 04:26:06
205106206,active,2022-06,2022-06-22 09:53:26
205207929,active,2022-05,2022-05-31 04:15:14
205572842,active,2022-08,2022-08-24 04:20:09
205580809,active,2022-06,2022-06-24 04:22:39
205602036,active,2022-07,2022-07-19 04:57:09
205602036,cancelled,2022-09,2022-09-13 22:13:57
205611109,active,2022-08,2022-08-26 04:37:26
205611109,cancelled,2024-06,2024-06-04 05:32:01
205673496,active,2022-09,2022-09-02 04:23:08
205797970,active,2022-08,2022-08-23 04:19:51
205797970,cancelled,2023-03,2023-03-08 05:20:27
205857877,active,2022-06,2022-06-26 04:19:14
205881852,active,2022-06,2022-06-26 04:19:13
205956614,active,2022-06,2022-06-05 04:21:24
206764707,active,2023-10,2023-10-18 16:17:30
206859578,active,2022-04,2022-04-01 11:09:12
207109979,active,2022-06,2022-06-30 04:29:04
207318979,active,2022-06,2022-06-09 17:58:57
207318979,cancelled,2022-09,2022-09-19 21:13:57
207558729,active,2022-07,2022-07-02 04:22:02
207611953,active,2022-07,2022-07-02 04:22:00
207636769,active,2022-07,2022-07-28 09:30:03
207636769,cancelled,2023-06,2023-06-01 09:54:03
207682519,active,2022-07,2022-07-02 04:21:47
207833368,active,2022-07,2022-07-25 12:27:46
208212391,active,2022-07,2022-07-04 04:23:13
208212391,cancelled,2022-09,2022-09-30 02:26:06
208242721,active,2022-08,2022-08-23 04:19:45
208414496,active,2022-08,2022-08-26 04:20:51
208414496,cancelled,2023-05,2023-05-17 05:55:13
208591449,active,2022-08,2022-08-21 18:55:28
208598976,active,2022-05,2022-05-06 04:21:54
208598976,cancelled,2023-01,2023-01-13 12:07:11
208731152,active,2022-07,2022-07-06 04:22:44
208745551,active,2022-07,2022-07-06 04:22:39
208745551,cancelled,2022-10,2022-10-03 19:17:39
209176192,active,2022-09,2022-09-07 07:13:03
209176192,cancelled,2022-09,2022-09-22 20:47:08
209350982,active,2022-03,2022-03-24 18:28:41
209350983,active,2022-03,2022-03-24 18:28:41
209494007,active,2022-06,2022-06-05 16:54:34
209494007,cancelled,2023-12,2023-12-26 00:04:15
209507834,active,2022-04,2022-04-09 04:20:09
209555102,active,2022-08,2022-08-28 05:04:33
209890725,active,2022-08,2022-08-10 04:25:49
209890725,cancelled,2023-03,2023-03-01 14:12:36
210260780,active,2022-03,2022-03-24 18:28:43
210260780,cancelled,2023-03,2023-03-30 11:58:45
210676237,active,2022-07,2022-07-05 20:18:18
210680106,active,2022-08,2022-08-13 04:18:08
210802838,active,2022-07,2022-07-14 04:23:04
210938059,active,2022-07,2022-07-13 04:21:52
211020645,active,2022-07,2022-07-14 04:22:30
211123550,active,2022-03,2022-03-24 18:28:43
211135105,active,2022-07,2022-07-14 20:13:15
211135105,cancelled,2023-11,2023-11-10 19:28:49
211135105,active,2023-11,2023-11-26 18:02:47
211165111,active,2022-06,2022-06-11 05:00:10
211165111,cancelled,2023-12,2023-12-01 07:19:38
211369364,active,2022-07,2022-07-15 04:25:04
211528466,active,2022-07,2022-07-19 04:22:29
211528466,cancelled,2022-09,2022-09-10 11:39:58
211553095,active,2022-08,2022-08-17 04:20:54
211626201,active,2022-07,2022-07-16 04:19:44
211681517,active,2022-08,2022-08-17 04:20:56
211730679,active,2022-07,2022-07-18 04:26:06
211778034,active,2022-04,2022-04-18 04:23:40
211795437,active,2022-07,2022-07-31 04:17:26
211795437,cancelled,2022-11,2022-11-08 04:37:20
211906230,active,2022-05,2022-05-11 13:46:53
212110632,active,2022-06,2022-06-18 08:41:09
212110632,cancelled,2023-10,2023-10-05 04:38:49
212232844,active,2022-07,2022-07-20 04:23:45
212232844,cancelled,2022-09,2022-09-01 05:05:08
212379445,active,2022-08,2022-08-22 04:23:50
212658979,active,2022-08,2022-08-23 04:19:50
212713037,active,2022-07,2022-07-17 06:52:34
212713037,cancelled,2023-01,2023-01-22 11:41:15
212793089,active,2022-06,2022-06-21 04:21:49
213061079,active,2022-07,2022-07-23 04:19:45
213170567,active,2022-06,2022-06-20 04:25:13
213170567,cancelled,2022-10,2022-10-18 08:24:33
213284102,active,2022-09,2022-09-07 09:35:00
213295215,active,2022-08,2022-08-23 04:19:50
213655464,active,2022-04,2022-04-25 04:24:36
213732852,active,2022-04,2022-04-20 04:22:35
213732852,cancelled,2024-03,2024-03-18 00:44:14
213984184,active,2022-08,2022-08-26 04:20:47
214169154,active,2022-07,2022-07-27 04:22:46
214347500,active,2022-07,2022-07-28 04:31:46
214424557,active,2022-07,2022-07-28 04:31:39
214436122,active,2022-07,2022-07-23 06:04:28
214543934,active,2022-07,2022-07-28 04:32:01
214543934,cancelled,2023-12,2023-12-05 09:36:54
214582009,active,2024-10,2024-10-14 18:48:17
214582009,cancelled,2024-10,2024-10-14 18:48:44
214638448,active,2022-07,2022-07-29 04:26:44
214674462,active,2022-07,2022-07-29 04:26:41
214674484,active,2022-03,2022-03-24 18:28:42
214674484,cancelled,2022-10,2022-10-03 07:19:06
214759604,active,2022-06,2022-06-27 21:08:07
214759604,cancelled,2023-05,2023-05-06 12:32:50
214930926,active,2022-08,2022-08-15 04:26:41
214979369,active,2022-05,2022-05-29 09:13:56
214979369,cancelled,2022-12,2022-12-14 05:39:24
215299675,active,2022-08,2022-08-13 05:39:35
215299675,cancelled,2022-09,2022-09-14 09:11:57
215362537,active,2022-03,2022-03-24 18:28:42
215491987,active,2022-07,2022-07-31 04:17:28
215492388,active,2022-08,2022-08-21 04:20:12
215494885,active,2022-04,2022-04-29 04:18:42
215494885,cancelled,2023-04,2023-04-23 06:42:47
215697198,active,2022-05,2022-05-23 04:36:41
215697198,cancelled,2022-11,2022-11-03 04:37:09
215855972,active,2022-03,2022-03-24 18:28:42
215855972,cancelled,2022-10,2022-10-03 07:26:57
215948650,active,2022-08,2022-08-02 04:27:11
216111636,active,2022-08,2022-08-04 04:24:39
216164320,active,2022-08,2022-08-03 04:27:03
216391728,active,2022-07,2022-07-04 13:48:37
216391728,cancelled,2023-02,2023-02-28 05:39:04
216391728,active,2023-02,2023-02-28 09:47:02
216401344,active,2022-08,2022-08-03 17:53:52
216401344,cancelled,2023-10,2023-10-16 08:21:14
216414263,active,2022-05,2022-05-04 18:37:25
216427266,active,2022-08,2022-08-03 04:27:04
216435815,active,2022-06,2022-06-04 04:21:42
216435815,cancelled,2023-01,2023-01-09 11:42:45
216755854,active,2022-08,2022-08-01 04:52:24
216755854,cancelled,2024-10,2024-10-03 20:01:51
216923017,active,2022-08,2022-08-06 04:23:03
216926544,active,2022-08,2022-08-25 04:37:13
216926544,cancelled,2022-08,2022-08-29 01:37:46
216941806,active,2022-07,2022-07-01 04:36:01
216966876,active,2022-07,2022-07-06 21:21:07
217143886,active,2022-08,2022-08-02 20:18:25
217155758,active,2022-05,2022-05-07 04:25:14
217163297,active,2022-03,2022-03-24 18:28:42
217163297,cancelled,2023-05,2023-05-27 09:52:42
217280486,active,2023-06,2023-06-29 20:57:36
217280486,cancelled,2023-09,2023-09-15 04:37:35
217343762,active,2022-07,2022-07-19 04:24:40
217343762,cancelled,2022-09,2022-09-27 21:38:44
217370968,active,2022-08,2022-08-06 04:23:02
217370968,cancelled,2024-04,2024-04-30 04:36:10
217715285,active,2022-06,2022-06-06 23:03:46
217715285,cancelled,2023-02,2023-02-09 13:05:29
217903022,active,2022-06,2022-06-25 11:01:34
217918025,active,2022-08,2022-08-09 04:25:40
218046609,active,2022-08,2022-08-26 10:12:58
218046609,cancelled,2023-01,2023-01-29 19:06:53
218115604,active,2022-07,2022-07-04 15:37:29
218316631,active,2022-06,2022-06-10 04:23:10
218340775,active,2022-08,2022-08-16 04:21:11
218389599,active,2022-03,2022-03-24 18:28:42
218437857,active,2022-05,2022-05-11 04:22:07
218437857,cancelled,2023-05,2023-05-08 13:27:52
218594414,active,2022-03,2022-03-24 18:28:42
218601208,active,2022-08,2022-08-27 14:51:04
218607051,active,2022-08,2022-08-13 07:42:54
218736559,active,2022-08,2022-08-13 04:18:11
218736559,cancelled,2023-01,2023-01-19 13:52:35
218774579,active,2022-08,2022-08-13 04:18:10
218830769,active,2022-08,2022-08-12 04:23:01
218852309,active,2022-03,2022-03-24 18:28:42
218852408,active,2022-08,2022-08-13 04:18:07
218888229,active,2022-03,2022-03-24 18:28:42
218957256,active,2022-07,2022-07-08 04:21:41
218957256,cancelled,2022-12,2022-12-29 05:35:30
219057924,active,2022-07,2022-07-14 04:22:28
219057924,cancelled,2023-01,2023-01-09 22:20:49
219174936,active,2022-08,2022-08-10 05:07:18
219196408,active,2022-08,2022-08-25 06:17:09
219196408,cancelled,2023-08,2023-08-30 13:58:25
219205913,active,2022-06,2022-06-17 04:38:06
219205913,cancelled,2023-06,2023-06-13 15:58:47
219229802,active,2022-05,2022-05-15 04:24:07
219293393,active,2022-08,2022-08-14 04:20:00
219293393,cancelled,2023-02,2023-02-26 17:22:05
219334485,active,2022-05,2022-05-15 04:24:02
219444882,active,2022-08,2022-08-01 20:15:56
219634667,active,2022-08,2022-08-16 04:21:11
219645848,active,2022-06,2022-06-07 04:22:28
219645848,cancelled,2023-04,2023-04-20 17:33:29
219955537,active,2022-08,2022-08-18 04:23:31
219965534,active,2022-08,2022-08-18 04:23:32
220076038,active,2022-08,2022-08-15 04:26:43
220076038,cancelled,2024-07,2024-07-02 14:28:03
220188074,active,2022-05,2022-05-30 04:24:24
220331098,active,2022-08,2022-08-19 04:19:24
220340461,active,2022-08,2022-08-07 04:23:06
220441270,active,2022-08,2022-08-20 04:18:03
220441270,cancelled,2022-10,2022-10-15 04:37:38
220441270,active,2023-03,2023-03-27 19:09:10
220809754,active,2022-08,2022-08-21 04:20:09
220935682,active,2022-08,2022-08-22 04:25:01
220935682,cancelled,2022-12,2022-12-07 18:01:41
220960101,active,2022-08,2022-08-22 10:51:30
220960101,cancelled,2023-06,2023-06-22 12:03:53
220961023,active,2022-08,2022-08-22 10:52:42
220961023,cancelled,2024-03,2024-03-10 00:40:38
220962182,active,2022-08,2022-08-23 04:19:48
220970168,active,2022-08,2022-08-27 20:13:38
220970168,cancelled,2022-09,2022-09-16 04:37:08
221004679,active,2022-08,2022-08-22 10:52:45
221004679,cancelled,2022-09,2022-09-15 10:11:32
221038801,active,2022-08,2022-08-22 10:52:42
221038801,cancelled,2023-03,2023-03-27 08:52:22
221114936,active,2022-08,2022-08-22 04:23:49
221114936,cancelled,2023-01,2023-01-30 12:38:48
221282420,active,2022-07,2022-07-07 04:23:01
221282420,cancelled,2023-05,2023-05-17 04:39:49
221500169,active,2022-08,2022-08-25 04:37:18
221500169,cancelled,2022-09,2022-09-17 04:38:02
221522534,active,2022-08,2022-08-26 04:20:47
221622065,active,2022-05,2022-05-23 04:24:53
221622065,cancelled,2023-08,2023-08-01 08:33:15
221778630,active,2022-05,2022-05-26 04:21:55
221778630,cancelled,2022-09,2022-09-01 09:37:26
221778630,active,2023-09,2023-09-21 13:59:33
221778630,cancelled,2024-09,2024-09-17 19:27:39
221780180,active,2022-05,2022-05-25 04:22:15
221838314,active,2022-08,2022-08-25 04:18:51
221887586,active,2022-03,2022-03-24 18:28:44
221887586,cancelled,2022-10,2022-10-16 03:42:32
221887586,active,2022-10,2022-10-16 03:48:31
221923819,active,2022-05,2022-05-25 04:22:12
221963402,active,2022-08,2022-08-26 04:20:48
222160606,active,2022-07,2022-07-21 19:28:34
222160606,cancelled,2023-04,2023-04-16 09:00:29
222162675,active,2022-03,2022-03-24 18:28:44
222306532,active,2022-08,2022-08-27 04:22:05
222306532,cancelled,2023-07,2023-07-23 19:44:59
222456653,active,2022-08,2022-08-27 04:21:24
222629446,active,2022-08,2022-08-25 04:20:01
222945452,active,2022-06,2022-06-01 04:34:06
222995249,active,2022-08,2022-08-09 04:25:39
223043610,active,2022-08,2022-08-01 04:52:27
223043610,cancelled,2023-01,2023-01-03 18:45:48
223046387,active,2022-05,2022-05-30 04:25:10
223046387,cancelled,2023-01,2023-01-09 05:38:54
223110274,active,2022-06,2022-06-01 04:33:32
223200354,active,2022-03,2022-03-24 18:28:31
223200354,cancelled,2023-03,2023-03-31 20:40:14
223529774,active,2022-06,2022-06-03 04:23:27
223529774,cancelled,2022-09,2022-09-28 04:37:10
223536402,active,2022-06,2022-06-03 04:23:29
223536402,cancelled,2022-09,2022-09-03 10:47:04
223752615,active,2022-05,2022-05-30 07:31:15
223752615,cancelled,2023-09,2023-09-23 09:11:58
223834671,active,2022-07,2022-07-02 04:21:45
223834671,cancelled,2022-09,2022-09-30 15:05:57
223834878,active,2022-07,2022-07-03 04:22:11
223834878,cancelled,2022-09,2022-09-26 05:40:56
223909187,active,2022-06,2022-06-04 04:21:43
224005937,active,2022-08,2022-08-05 04:24:02
224021992,active,2022-06,2022-06-14 04:22:18
224021992,cancelled,2022-12,2022-12-31 17:37:21
224025297,active,2022-03,2022-03-24 18:28:40
224242788,active,2022-06,2022-06-06 04:23:05
224242788,cancelled,2022-12,2022-12-31 05:37:06
224254094,active,2022-06,2022-06-02 04:53:28
